Policy,Total Simulation Time (ms),Total Workflows Completed,Workflows On Time,Tasks on Edge,Tasks on Cloud,Cold Starts,Avg Edge Utilization (%)
CriticalPathFirst_full_public,300000000.00,50,50,99,1381,15,1.12
CriticalPathFirst_full_public,300000000.00,50,50,99,1381,15,1.12
CriticalPathFirst_full_public,300000000.00,50,50,99,1381,68,1.09
CriticalPathFirst_partial_public_private,300000000.00,50,50,108,1372,15,1.48
CriticalPathFirst_partial_public_private,300000000.00,50,50,108,1372,15,1.48
CriticalPathFirst_partial_public_private,300000000.00,50,50,108,1372,74,1.48
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,22,4.82
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,92,4.82
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,264,4.82
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,22,1.45
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,198,1.45
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,504,1.45
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,22,4.82
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,129,4.82
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,264,4.82
CriticalPathFirst_partial_public_private,300000000.00,50,50,131,1349,15,2.01
CriticalPathFirst_partial_public_private,300000000.00,50,50,131,1349,58,2.01
CriticalPathFirst_partial_public_private,300000000.00,50,50,131,1349,80,2.01
CriticalPathFirst_partial_public_private,300000000.00,50,50,191,1289,17,2.87
CriticalPathFirst_partial_public_private,300000000.00,50,50,191,1289,65,2.87
CriticalPathFirst_partial_public_private,300000000.00,50,50,191,1289,96,2.87
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,22,1.45
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,192,1.45
CriticalPathFirst_partial_public_private,300000000.00,50,50,1480,0,504,1.45
CriticalPathFirst_partial_public_private,300000000.00,50,50,359,1121,22,0.99
CriticalPathFirst_partial_public_private,300000000.00,50,50,359,1121,174,0.99
CriticalPathFirst_partial_public_private,300000000.00,50,50,359,1121,211,0.99
CriticalPathFirst_partial_public_private,300000000.00,50,50,96,1384,15,1.04
CriticalPathFirst_partial_public_private,300000000.00,50,50,96,1384,29,1.04
CriticalPathFirst_partial_public_private,300000000.00,50,50,96,1384,69,1.04
CriticalPathFirst_partial_public_private,300000000.00,50,50,191,1289,17,2.87
CriticalPathFirst_partial_public_private,300000000.00,50,50,191,1289,31,2.87
CriticalPathFirst_partial_public_private,300000000.00,50,50,191,1289,96,2.87
