Policy,Workflow ID,Workflow Name,Total Tasks,Tasks On Time,Edge Tasks,Cloud Tasks,Cold Starts,Avg Wait Time (ms),Completed Within Deadline
CriticalPathFirst_full_public,Sipht_instance_1,Sipht_30_29,29,29,29,0,13,291.43,True
CriticalPathFirst_full_public,Sipht_instance_2,Sipht_30_29,29,9,29,0,0,1585.84,True
CriticalPathFirst_full_public,Inspiral_instance_3,Inspiral_30_30,30,21,14,16,2,9075.32,True
CriticalPathFirst_full_public,Inspiral_instance_4,Inspiral_30_30,30,21,7,23,0,2853.03,True
CriticalPathFirst_full_public,Sipht_instance_5,Sipht_30_29,29,7,1,28,0,10743.97,True
CriticalPathFirst_full_public,CyberShake_instance_6,CyberShake_30_30,30,14,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_7,Inspiral_30_30,30,14,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_8,Sipht_30_29,29,6,2,27,0,19423.17,True
CriticalPathFirst_full_public,Sipht_instance_9,Sipht_30_29,29,5,1,28,0,10528.24,True
CriticalPathFirst_full_public,Sipht_instance_10,Sipht_30_29,29,4,1,28,0,10428.39,True
CriticalPathFirst_full_public,CyberShake_instance_11,CyberShake_30_30,30,2,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_12,Sipht_30_29,29,4,1,28,0,11390.05,True
CriticalPathFirst_full_public,Inspiral_instance_13,Inspiral_30_30,30,14,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_14,Inspiral_30_30,30,14,0,30,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_15,CyberShake_30_30,30,1,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_16,Inspiral_30_30,30,14,1,29,0,6485.42,True
CriticalPathFirst_full_public,CyberShake_instance_17,CyberShake_30_30,30,1,0,30,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_18,CyberShake_30_30,30,1,0,30,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_19,CyberShake_30_30,30,1,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_20,Inspiral_30_30,30,14,4,26,0,22712.04,True
CriticalPathFirst_full_public,Sipht_instance_21,Sipht_30_29,29,4,1,28,0,13581.48,True
CriticalPathFirst_full_public,CyberShake_instance_22,CyberShake_30_30,30,1,0,30,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_23,CyberShake_30_30,30,1,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_24,Sipht_30_29,29,4,1,28,0,11345.86,True
CriticalPathFirst_full_public,CyberShake_instance_25,CyberShake_30_30,30,1,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_26,Sipht_30_29,29,4,2,27,0,23239.58,True
CriticalPathFirst_full_public,Sipht_instance_27,Sipht_30_29,29,4,0,29,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_28,CyberShake_30_30,30,0,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_29,Inspiral_30_30,30,14,0,30,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_30,CyberShake_30_30,30,0,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_31,Sipht_30_29,29,4,1,28,0,12171.39,True
CriticalPathFirst_full_public,Inspiral_instance_32,Inspiral_30_30,30,14,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_33,Inspiral_30_30,30,13,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_34,Sipht_30_29,29,4,1,28,0,14126.65,True
CriticalPathFirst_full_public,Sipht_instance_35,Sipht_30_29,29,4,1,28,0,12802.29,True
CriticalPathFirst_full_public,Sipht_instance_36,Sipht_30_29,29,4,0,29,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_37,Sipht_30_29,29,4,0,29,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_38,CyberShake_30_30,30,0,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_39,Sipht_30_29,29,4,0,29,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_40,Inspiral_30_30,30,12,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_41,Inspiral_30_30,30,12,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_42,Inspiral_30_30,30,12,0,30,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_43,CyberShake_30_30,30,0,0,30,0,0.00,True
CriticalPathFirst_full_public,Inspiral_instance_44,Inspiral_30_30,30,10,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_45,Sipht_30_29,29,4,1,28,0,15926.85,True
CriticalPathFirst_full_public,CyberShake_instance_46,CyberShake_30_30,30,0,0,30,0,0.00,True
CriticalPathFirst_full_public,CyberShake_instance_47,CyberShake_30_30,30,0,0,30,0,0.00,True
CriticalPathFirst_full_public,Sipht_instance_48,Sipht_30_29,29,4,1,28,0,17036.31,True
