Policy,Total Workflows Completed,Workflows Completed On Time,Tasks on Edge,Tasks on Cloud,Total Cold Starts,Total Simulation Time (ms),Average Edge Utilization
EDF_full_public,0,0,0,0,0,1626710.62,0.00
EDF_partial_public_private,0,0,0,0,0,1626710.62,0.00
EDF_full_private,0,0,0,0,0,1626710.62,0.00
CriticalPathFirst_full_public,0,0,0,0,0,1626710.62,0.00
CriticalPathFirst_partial_public_private,0,0,0,0,0,1626710.62,0.00
CriticalPathFirst_full_private,0,0,0,0,0,1626710.62,0.00
EDF_full_public,0,0,0,0,0,1626710.62,0.00
EDF_partial_public_private,0,0,0,0,0,1626710.62,0.00
EDF_full_private,0,0,0,0,0,1626710.62,0.00
CriticalPathFirst_full_public,0,0,0,0,0,1626710.62,0.00
CriticalPathFirst_partial_public_private,0,0,0,0,0,1626710.62,0.00
CriticalPathFirst_full_private,0,0,0,0,0,1626710.62,0.00
EDF_full_public,50,0,0,0,0,0,0.00
EDF_partial_public_private,50,0,0,0,0,0,0.00
EDF_full_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_public,50,0,0,0,0,0,0.00
CriticalPathFirst_partial_public_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_private,50,0,0,0,0,0,0.00
EDF_full_public,50,0,0,0,0,0,0.00
EDF_partial_public_private,50,0,0,0,0,0,0.00
EDF_full_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_public,50,0,0,0,0,0,0.00
CriticalPathFirst_partial_public_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_private,50,0,0,0,0,0,0.00
EDF_full_public,50,0,0,0,0,0,0.00
EDF_partial_public_private,50,0,0,0,0,0,0.00
EDF_full_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_public,50,0,0,0,0,0,0.00
CriticalPathFirst_partial_public_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_private,50,0,0,0,0,0,0.00
EDF_full_public,50,0,0,0,0,0,0.00
EDF_partial_public_private,50,0,0,0,0,0,0.00
EDF_full_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_public,50,0,0,0,0,0,0.00
CriticalPathFirst_partial_public_private,50,0,0,0,0,0,0.00
CriticalPathFirst_full_private,50,0,0,0,0,0,0.00
EDF_full_public,50,50,50,1500,0,1500,0.00
EDF_partial_public_private,50,50,50,1500,0,1500,0.00
EDF_full_private,50,50,50,1500,0,1500,0.00
CriticalPathFirst_full_public,50,50,50,1500,0,1500,0.00
CriticalPathFirst_partial_public_private,50,50,50,1500,0,1500,0.00
CriticalPathFirst_full_private,50,50,50,1500,0,1500,0.00
EDF_full_public,50,50,50,1500,0,23,0.00
EDF_partial_public_private,50,50,50,1500,0,36,0.00
EDF_full_private,50,50,50,1500,0,33,0.00
CriticalPathFirst_full_public,50,50,50,1500,0,23,0.00
CriticalPathFirst_partial_public_private,50,50,50,1500,0,34,0.00
CriticalPathFirst_full_private,50,50,50,1500,0,32,0.00
EDF_full_public,50,50,50,1500,0,18,0.00
EDF_partial_public_private,50,50,50,1500,0,32,0.00
EDF_full_private,50,50,50,1500,0,31,0.00
CriticalPathFirst_full_public,50,50,50,1500,0,18,0.00
CriticalPathFirst_partial_public_private,50,50,50,1500,0,31,0.00
CriticalPathFirst_full_private,50,50,50,1500,0,30,0.00
EDF_full_public,50,50,50,1500,0,0,0.00
EDF_partial_public_private,50,50,50,1500,0,26,0.00
EDF_full_private,50,50,50,1500,0,15,0.00
CriticalPathFirst_full_public,50,50,50,1500,0,0,0.00
CriticalPathFirst_partial_public_private,50,50,50,1500,0,26,0.00
CriticalPathFirst_full_private,50,50,50,1500,0,15,0.00
EDF_full_public,50,50,50,1500,0,0,0.00
EDF_partial_public_private,50,50,50,1500,0,26,0.00
EDF_full_private,50,50,50,1500,0,15,0.00
CriticalPathFirst_full_public,50,50,50,1500,0,0,0.00
CriticalPathFirst_partial_public_private,50,50,50,1500,0,26,0.00
CriticalPathFirst_full_private,50,50,50,1500,0,15,0.00
EDF_full_public,50,50,50,1500,0,0,0.00
EDF_partial_public_private,50,50,50,1500,0,15,0.00
EDF_full_private,50,50,50,1500,0,15,0.00
CriticalPathFirst_full_public,50,50,50,1500,0,0,0.00
CriticalPathFirst_partial_public_private,50,50,50,1500,0,15,0.00
CriticalPathFirst_full_private,50,50,50,1500,0,15,0.00
EDF_full_public,50,50,50,1500,0,0,0.00
EDF_partial_public_private,50,50,50,1500,0,15,0.00
EDF_full_private,50,50,50,1500,0,15,0.00
EDF_full_public,50,50,50,1500,0,0,0.00
EDF_partial_public_private,50,50,50,1234,266,0,0.00
EDF_full_private,50,50,50,0,1500,0,0.00
CriticalPathFirst_full_public,50,50,50,1500,0,0,0.00
CriticalPathFirst_partial_public_private,50,50,50,1234,266,0,0.00
CriticalPathFirst_full_private,50,50,50,0,1500,0,0.00
EDF_full_public,75,75,71,624,1551,0,0.00
EDF_partial_public_private,75,75,71,624,1551,0,0.00
EDF_full_private,75,75,24,279,1896,0,0.00
CriticalPathFirst_full_public,75,75,71,624,1551,0,0.00
CriticalPathFirst_partial_public_private,75,75,71,624,1551,0,0.00
CriticalPathFirst_full_private,75,75,24,279,1896,0,0.00
EDF_full_public,50,50,50,1350,100,7,0.00
EDF_partial_public_private,50,50,50,1297,153,26,0.00
EDF_full_private,50,50,50,1346,104,21,0.00
CriticalPathFirst_full_public,50,50,50,1450,0,9,0.00
CriticalPathFirst_partial_public_private,50,50,50,1444,6,46,0.00
CriticalPathFirst_full_private,50,50,50,1444,6,20,0.00
EDF_full_public,50,50,50,1350,100,7,0.00
EDF_partial_public_private,50,50,50,1297,153,26,0.00
EDF_full_private,50,50,50,1346,104,21,0.00
CriticalPathFirst_full_public,50,50,50,1450,0,9,0.00
CriticalPathFirst_partial_public_private,50,50,50,1444,6,46,0.00
CriticalPathFirst_full_private,50,50,50,1444,6,20,0.00
