Policy,Workflow ID,Workflow Name,Total Tasks,Tasks On Time,Edge Tasks,Cloud Tasks,Cold Starts,Avg Wait Time (ms),Completed Within Deadline
EDF_full_public,wf_instance_0,CyberShake_30_30,30,13,29,0,2,28865.04,True
EDF_full_public,wf_instance_1,CyberShake_30_30,30,11,29,0,0,12776.40,True
EDF_full_public,wf_instance_2,CyberShake_30_30,30,8,29,0,0,3142.32,True
EDF_full_public,wf_instance_3,CyberShake_30_30,30,4,29,0,0,0.00,True
EDF_full_public,wf_instance_4,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_5,CyberShake_30_30,30,1,29,0,0,0.00,True
EDF_full_public,wf_instance_6,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_7,CyberShake_30_30,30,1,29,0,0,0.00,True
EDF_full_public,wf_instance_8,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_9,CyberShake_30_30,30,1,29,0,0,0.00,True
EDF_full_public,wf_instance_10,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_11,CyberShake_30_30,30,1,24,5,2,0.00,True
EDF_full_public,wf_instance_12,CyberShake_30_30,30,0,22,8,1,0.00,True
EDF_full_public,wf_instance_13,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_14,CyberShake_30_30,30,0,20,10,0,0.00,True
EDF_full_public,wf_instance_15,CyberShake_30_30,30,0,22,8,0,0.00,True
EDF_full_public,wf_instance_16,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_17,CyberShake_30_30,30,0,28,1,1,0.00,True
EDF_full_public,wf_instance_18,CyberShake_30_30,30,0,24,5,0,0.00,True
EDF_full_public,wf_instance_19,CyberShake_30_30,30,0,25,3,0,0.00,False
EDF_full_public,wf_instance_20,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_21,CyberShake_30_30,30,0,27,2,0,0.00,True
EDF_full_public,wf_instance_22,CyberShake_30_30,30,0,25,4,0,0.00,True
EDF_full_public,wf_instance_23,CyberShake_30_30,30,0,29,1,0,0.00,True
EDF_full_public,wf_instance_24,CyberShake_30_30,30,0,28,1,0,0.00,True
EDF_full_public,wf_instance_25,CyberShake_30_30,30,0,17,9,0,0.00,False
EDF_full_public,wf_instance_26,CyberShake_30_30,30,0,24,4,0,0.00,False
EDF_full_public,wf_instance_27,CyberShake_30_30,30,0,25,2,0,0.00,False
EDF_full_public,wf_instance_28,CyberShake_30_30,30,0,24,3,0,0.00,False
EDF_full_public,wf_instance_29,CyberShake_30_30,30,0,10,4,0,0.00,False
EDF_full_public,wf_instance_30,CyberShake_30_30,30,0,28,1,0,0.00,True
EDF_full_public,wf_instance_31,CyberShake_30_30,30,0,20,0,0,0.00,False
EDF_full_public,wf_instance_32,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_33,CyberShake_30_30,30,0,0,4,0,0.00,False
EDF_full_public,wf_instance_34,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_35,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_36,CyberShake_30_30,30,0,20,0,0,0.00,False
EDF_full_public,wf_instance_37,CyberShake_30_30,30,0,23,0,0,0.00,False
EDF_full_public,wf_instance_38,CyberShake_30_30,30,0,26,0,0,0.00,False
EDF_full_public,wf_instance_39,CyberShake_30_30,30,0,13,0,0,0.00,False
EDF_full_public,wf_instance_40,CyberShake_30_30,30,0,14,0,0,0.00,False
EDF_full_public,wf_instance_41,CyberShake_30_30,30,0,22,0,0,0.00,False
EDF_full_public,wf_instance_42,CyberShake_30_30,30,0,20,0,0,0.00,False
EDF_full_public,wf_instance_43,CyberShake_30_30,30,0,24,0,0,0.00,False
EDF_full_public,wf_instance_44,CyberShake_30_30,30,0,0,0,0,0.00,False
EDF_full_public,wf_instance_45,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_46,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_47,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_48,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_49,CyberShake_30_30,30,0,27,0,0,0.00,False
EDF_full_public,wf_instance_50,CyberShake_30_30,30,0,21,0,0,0.00,False
EDF_full_public,wf_instance_51,CyberShake_30_30,30,0,23,0,0,0.00,False
EDF_full_public,wf_instance_52,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_53,CyberShake_30_30,30,0,8,0,0,0.00,False
EDF_full_public,wf_instance_54,CyberShake_30_30,30,0,0,0,0,0.00,False
EDF_full_public,wf_instance_55,CyberShake_30_30,30,0,1,0,0,0.00,False
EDF_full_public,wf_instance_56,CyberShake_30_30,30,0,2,0,0,0.00,False
EDF_full_public,wf_instance_57,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_58,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_59,CyberShake_30_30,30,0,24,0,0,0.00,False
EDF_full_public,wf_instance_60,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_61,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_62,CyberShake_30_30,30,0,14,0,0,0.00,False
EDF_full_public,wf_instance_63,CyberShake_30_30,30,0,22,0,0,0.00,False
EDF_full_public,wf_instance_64,CyberShake_30_30,30,0,0,0,0,0.00,False
EDF_full_public,wf_instance_65,CyberShake_30_30,30,0,29,0,0,0.00,True
EDF_full_public,wf_instance_66,CyberShake_30_30,30,0,1,0,0,0.00,False
EDF_full_public,wf_instance_67,CyberShake_30_30,30,0,20,0,0,0.00,False
EDF_full_public,wf_instance_68,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_69,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_70,CyberShake_30_30,30,0,12,0,0,0.00,False
EDF_full_public,wf_instance_71,CyberShake_30_30,30,0,27,0,0,0.00,False
EDF_full_public,wf_instance_72,CyberShake_30_30,30,0,28,0,0,0.00,False
EDF_full_public,wf_instance_73,CyberShake_30_30,30,0,8,0,0,0.00,False
EDF_full_public,wf_instance_74,CyberShake_30_30,30,0,14,0,0,0.00,False
EDF_full_public,wf_instance_75,CyberShake_30_30,30,0,16,0,0,0.00,False
EDF_full_public,wf_instance_76,CyberShake_30_30,30,0,4,0,0,0.00,False
EDF_full_public,wf_instance_77,CyberShake_30_30,30,0,4,0,0,0.00,False
EDF_full_public,wf_instance_78,CyberShake_30_30,30,0,4,0,0,0.00,False
EDF_full_public,wf_instance_79,CyberShake_30_30,30,0,0,0,0,0.00,False
EDF_full_public,wf_instance_80,CyberShake_30_30,30,0,2,0,0,0.00,False
EDF_full_public,wf_instance_81,CyberShake_30_30,30,0,0,0,0,0.00,False
EDF_full_public,wf_instance_82,CyberShake_30_30,30,0,0,0,0,0.00,False
